head,relation,tail
P1740,belongs_to_category,C018
P1741,belongs_to_brand,B231
P1741,belongs_to_category,C089
P1742,belongs_to_brand,B092
P1742,belongs_to_category,C052
P1743,belongs_to_brand,B039
P1743,belongs_to_category,C096
P1744,belongs_to_brand,B147
P1744,belongs_to_category,C016
P1745,belongs_to_brand,B055
P1745,belongs_to_category,C070
P1746,belongs_to_brand,B288
P1746,belongs_to_category,C040
P1747,belongs_to_brand,B029
P1747,belongs_to_category,C018
P1748,belongs_to_brand,B167
P1748,belongs_to_category,C126
P1749,belongs_to_brand,B290
P1749,belongs_to_category,C099
P1750,belongs_to_brand,B268
P1750,belongs_to_category,C039
P1751,belongs_to_brand,B036
P1751,belongs_to_category,C010
P1752,belongs_to_brand,B097
P1752,belongs_to_category,C019
P1753,belongs_to_brand,B248
P1753,belongs_to_category,C180
P1754,belongs_to_brand,B270
P1754,belongs_to_category,C025
P1755,belongs_to_brand,B029
P1755,belongs_to_category,C117
P1756,belongs_to_brand,B119
P1756,belongs_to_category,C121
P1757,belongs_to_brand,B054
P1757,belongs_to_category,C163
P1758,belongs_to_brand,B176
P1758,belongs_to_category,C114
P1759,belongs_to_brand,B158
P1759,belongs_to_category,C125
P1760,belongs_to_brand,B022
P1760,belongs_to_category,C021
P1761,belongs_to_brand,B226
P1761,belongs_to_category,C163
P1762,belongs_to_brand,B000
P1762,belongs_to_category,C013
P1763,belongs_to_brand,B032
P1763,belongs_to_category,C014
P1764,belongs_to_brand,B189
P1764,belongs_to_category,C033
P1765,belongs_to_brand,B036
P1765,belongs_to_category,C097
P1766,belongs_to_brand,B048
P1766,belongs_to_category,C096
P1767,belongs_to_brand,B232
P1767,belongs_to_category,C062
P1768,belongs_to_brand,B031
P1768,belongs_to_category,C127
P1769,belongs_to_brand,B003
P1769,belongs_to_category,C025
P1770,belongs_to_brand,B059
P1770,belongs_to_category,C033
P1771,belongs_to_brand,B111
P1771,belongs_to_category,C143
P1772,belongs_to_brand,B049
P1772,belongs_to_category,C081
P1773,belongs_to_brand,B039
P1773,belongs_to_category,C031
P1774,belongs_to_brand,B193
P1774,belongs_to_category,C187
P1775,belongs_to_brand,B057
P1775,belongs_to_category,C068
P1776,belongs_to_brand,B223
P1776,belongs_to_category,C118
P1777,belongs_to_brand,B020
P1777,belongs_to_category,C016
P1778,belongs_to_brand,B156
P1778,belongs_to_category,C072
P1779,belongs_to_brand,B217
P1779,belongs_to_category,C198
P1780,belongs_to_brand,B076
P1780,belongs_to_category,C143
P1781,belongs_to_brand,B057
P1781,belongs_to_category,C092
P1782,belongs_to_brand,B069
P1782,belongs_to_category,C065
P1783,belongs_to_brand,B197
P1783,belongs_to_category,C129
P1784,belongs_to_brand,B074
P1784,belongs_to_category,C114
P1785,belongs_to_brand,B010
P1785,belongs_to_category,C124
P1786,belongs_to_brand,B129
P1786,belongs_to_category,C083
P1787,belongs_to_brand,B199
P1787,belongs_to_category,C152
P1788,belongs_to_brand,B080
P1788,belongs_to_category,C009
P1789,belongs_to_brand,B080
P1789,belongs_to_category,C189
P1790,belongs_to_brand,B072
P1790,belongs_to_category,C132
P1791,belongs_to_brand,B268
P1791,belongs_to_category,C162
P1792,belongs_to_brand,B238
P1792,belongs_to_category,C178
P1793,belongs_to_brand,B087
P1793,belongs_to_category,C000
P1794,belongs_to_brand,B070
P1794,belongs_to_category,C064
P1795,belongs_to_brand,B191
P1795,belongs_to_category,C062
P1796,belongs_to_brand,B237
P1796,belongs_to_category,C029
P1797,belongs_to_brand,B257
P1797,belongs_to_category,C073
P1798,belongs_to_brand,B099
P1798,belongs_to_category,C031
P1799,belongs_to_brand,B008
P1799,belongs_to_category,C039
P1800,belongs_to_brand,B105
P1800,belongs_to_category,C176
P1801,belongs_to_brand,B120
P1801,belongs_to_category,C003
P1802,belongs_to_brand,B217
P1802,belongs_to_category,C115
P1803,belongs_to_brand,B157
P1803,belongs_to_category,C071
P1804,belongs_to_brand,B261
P1804,belongs_to_category,C045
P1805,belongs_to_brand,B005
P1805,belongs_to_category,C141
P1806,belongs_to_brand,B031
P1806,belongs_to_category,C157
P1807,belongs_to_brand,B221
P1807,belongs_to_category,C156
P1808,belongs_to_brand,B296
P1808,belongs_to_category,C178
P1809,belongs_to_brand,B229
P1809,belongs_to_category,C100
P1810,belongs_to_brand,B290
P1810,belongs_to_category,C044
P1811,belongs_to_brand,B080
P1811,belongs_to_category,C161
P1812,belongs_to_brand,B159
P1812,belongs_to_category,C166
P1813,belongs_to_brand,B021
P1813,belongs_to_category,C163
P1814,belongs_to_brand,B212
P1814,belongs_to_category,C031
P1815,belongs_to_brand,B164
P1815,belongs_to_category,C065
P1816,belongs_to_brand,B155
P1816,belongs_to_category,C187
P1817,belongs_to_brand,B236
P1817,belongs_to_category,C119
P1818,belongs_to_brand,B230
P1818,belongs_to_category,C062
P1819,belongs_to_brand,B130
P1819,belongs_to_category,C050
P1820,belongs_to_brand,B297
P1820,belongs_to_category,C128
P1821,belongs_to_brand,B237
P1821,belongs_to_category,C133
P1822,belongs_to_brand,B088
P1822,belongs_to_category,C037
P1823,belongs_to_brand,B193
P1823,belongs_to_category,C196
P1824,belongs_to_brand,B273
P1824,belongs_to_category,C065
P1825,belongs_to_brand,B255
P1825,belongs_to_category,C032
P1826,belongs_to_brand,B148
P1826,belongs_to_category,C196
P1827,belongs_to_brand,B140
P1827,belongs_to_category,C087
P1828,belongs_to_brand,B015
P1828,belongs_to_category,C048
P1829,belongs_to_brand,B051
P1829,belongs_to_category,C039
P1830,belongs_to_brand,B196
P1830,belongs_to_category,C059
P1831,belongs_to_brand,B288
P1831,belongs_to_category,C193
P1832,belongs_to_brand,B283
P1832,belongs_to_category,C051
P1833,belongs_to_brand,B069
P1833,belongs_to_category,C055
P1834,belongs_to_brand,B125
P1834,belongs_to_category,C085
P1835,belongs_to_brand,B213
P1835,belongs_to_category,C099
P1836,belongs_to_brand,B268
P1836,belongs_to_category,C033
P1837,belongs_to_brand,B247
P1837,belongs_to_category,C093
P1838,belongs_to_brand,B076
P1838,belongs_to_category,C077
P1839,belongs_to_brand,B280
P1839,belongs_to_category,C056
P1840,belongs_to_brand,B119
P1840,belongs_to_category,C051
P1841,belongs_to_brand,B203
P1841,belongs_to_category,C163
P1842,belongs_to_brand,B233
P1842,belongs_to_category,C093
P1843,belongs_to_brand,B159
P1843,belongs_to_category,C025
P1844,belongs_to_brand,B040
P1844,belongs_to_category,C029
P1845,belongs_to_brand,B194
P1845,belongs_to_category,C162
P1846,belongs_to_brand,B035
P1846,belongs_to_category,C054
P1847,belongs_to_brand,B139
P1847,belongs_to_category,C156
P1848,belongs_to_brand,B183
P1848,belongs_to_category,C028
P1849,belongs_to_brand,B207
P1849,belongs_to_category,C184
P1850,belongs_to_brand,B032
P1850,belongs_to_category,C147
P1851,belongs_to_brand,B229
P1851,belongs_to_category,C153
P1852,belongs_to_brand,B188
P1852,belongs_to_category,C005
P1853,belongs_to_brand,B189
P1853,belongs_to_category,C030
P1854,belongs_to_brand,B285
P1854,belongs_to_category,C167
P1855,belongs_to_brand,B015
P1855,belongs_to_category,C015
P1856,belongs_to_brand,B113
P1856,belongs_to_category,C075
P1857,belongs_to_brand,B235
P1857,belongs_to_category,C035
P1858,belongs_to_brand,B007
P1858,belongs_to_category,C035
P1859,belongs_to_brand,B203
P1859,belongs_to_category,C085
P1860,belongs_to_brand,B228
P1860,belongs_to_category,C037
P1861,belongs_to_brand,B096
P1861,belongs_to_category,C160
P1862,belongs_to_brand,B269
P1862,belongs_to_category,C162
P1863,belongs_to_brand,B084
P1863,belongs_to_category,C050
P1864,belongs_to_brand,B213
P1864,belongs_to_category,C113
P1865,belongs_to_brand,B051
P1865,belongs_to_category,C177
P1866,belongs_to_brand,B040
P1866,belongs_to_category,C063
P1867,belongs_to_brand,B173
P1867,belongs_to_category,C117
P1868,belongs_to_brand,B141
P1868,belongs_to_category,C020
P1869,belongs_to_brand,B221
P1869,belongs_to_category,C047
P1870,belongs_to_brand,B113
P1870,belongs_to_category,C034
P1871,belongs_to_brand,B131
P1871,belongs_to_category,C171
P1872,belongs_to_brand,B144
P1872,belongs_to_category,C028
P1873,belongs_to_brand,B259
P1873,belongs_to_category,C186
P1874,belongs_to_brand,B254
P1874,belongs_to_category,C105
P1875,belongs_to_brand,B276
P1875,belongs_to_category,C176
P1876,belongs_to_brand,B026
P1876,belongs_to_category,C079
P1877,belongs_to_brand,B242
P1877,belongs_to_category,C168
P1878,belongs_to_brand,B298
P1878,belongs_to_category,C142
P1879,belongs_to_brand,B068
P1879,belongs_to_category,C086
P1880,belongs_to_brand,B156
P1880,belongs_to_category,C041
P1881,belongs_to_brand,B284
P1881,belongs_to_category,C144
P1882,belongs_to_brand,B147
P1882,belongs_to_category,C047
P1883,belongs_to_brand,B151
P1883,belongs_to_category,C177
P1884,belongs_to_brand,B062
P1884,belongs_to_category,C038
P1885,belongs_to_brand,B153
P1885,belongs_to_category,C028
P1886,belongs_to_brand,B056
P1886,belongs_to_category,C030
P1887,belongs_to_brand,B269
P1887,belongs_to_category,C114
P1888,belongs_to_brand,B106
P1888,belongs_to_category,C095
P1889,belongs_to_brand,B177
P1889,belongs_to_category,C184
P1890,belongs_to_brand,B065
P1890,belongs_to_category,C098
P1891,belongs_to_brand,B090
P1891,belongs_to_category,C152
P1892,belongs_to_brand,B290
P1892,belongs_to_category,C060
P1893,belongs_to_brand,B004
P1893,belongs_to_category,C187
P1894,belongs_to_brand,B177
P1894,belongs_to_category,C167
P1895,belongs_to_brand,B171
P1895,belongs_to_category,C050
P1896,belongs_to_brand,B189
P1896,belongs_to_category,C163
P1897,belongs_to_brand,B249
P1897,belongs_to_category,C116
P1898,belongs_to_brand,B089
P1898,belongs_to_category,C027
P1899,belongs_to_brand,B159
P1899,belongs_to_category,C040
P1900,belongs_to_brand,B062
P1900,belongs_to_category,C008
P1901,belongs_to_brand,B059
P1901,belongs_to_category,C188
P1902,belongs_to_brand,B062
P1902,belongs_to_category,C089
P1903,belongs_to_brand,B105
P1903,belongs_to_category,C170
P1904,belongs_to_brand,B072
P1904,belongs_to_category,C105
P1905,belongs_to_brand,B172
P1905,belongs_to_category,C031
P1906,belongs_to_brand,B296
P1906,belongs_to_category,C109
P1907,belongs_to_brand,B283
P1907,belongs_to_category,C056
P1908,belongs_to_brand,B234
P1908,belongs_to_category,C017
P1909,belongs_to_brand,B110
P1909,belongs_to_category,C082
P1910,belongs_to_brand,B179
P1910,belongs_to_category,C014
P1911,belongs_to_brand,B089
P1911,belongs_to_category,C137
P1912,belongs_to_brand,B247
P1912,belongs_to_category,C040
P1913,belongs_to_brand,B101
P1913,belongs_to_category,C071
P1914,belongs_to_brand,B220
P1914,belongs_to_category,C031
P1915,belongs_to_brand,B072
P1915,belongs_to_category,C000
P1916,belongs_to_brand,B273
P1916,belongs_to_category,C169
P1917,belongs_to_brand,B150
P1917,belongs_to_category,C142
P1918,belongs_to_brand,B169
P1918,belongs_to_category,C123
P1919,belongs_to_brand,B203
P1919,belongs_to_category,C056
P1920,belongs_to_brand,B024
P1920,belongs_to_category,C035
P1921,belongs_to_brand,B181
P1921,belongs_to_category,C191
P1922,belongs_to_brand,B053
P1922,belongs_to_category,C096
P1923,belongs_to_brand,B279
P1923,belongs_to_category,C187
P1924,belongs_to_brand,B168
P1924,belongs_to_category,C132
P1925,belongs_to_brand,B040
P1925,belongs_to_category,C074
P1926,belongs_to_brand,B121
P1926,belongs_to_category,C146
P1927,belongs_to_brand,B042
P1927,belongs_to_category,C196
P1928,belongs_to_brand,B277
P1928,belongs_to_category,C097
P1929,belongs_to_brand,B087
P1929,belongs_to_category,C007
P1930,belongs_to_brand,B265
P1930,belongs_to_category,C025
P1931,belongs_to_brand,B005
P1931,belongs_to_category,C183
P1932,belongs_to_brand,B209
P1932,belongs_to_category,C192
P1933,belongs_to_brand,B189
P1933,belongs_to_category,C059
P1934,belongs_to_brand,B166
P1934,belongs_to_category,C140
P1935,belongs_to_brand,B045
P1935,belongs_to_category,C037
P1936,belongs_to_brand,B047
P1936,belongs_to_category,C102
P1937,belongs_to_brand,B123
P1937,belongs_to_category,C112
P1938,belongs_to_brand,B148
P1938,belongs_to_category,C020
P1939,belongs_to_brand,B164
P1939,belongs_to_category,C174
P1940,belongs_to_brand,B015
P1940,belongs_to_category,C050
P1941,belongs_to_brand,B149
P1941,belongs_to_category,C165
P1942,belongs_to_brand,B230
P1942,belongs_to_category,C172
P1943,belongs_to_brand,B148
P1943,belongs_to_category,C120
P1944,belongs_to_brand,B177
P1944,belongs_to_category,C107
P1945,belongs_to_brand,B107
P1945,belongs_to_category,C128
P1946,belongs_to_brand,B102
P1946,belongs_to_category,C062
P1947,belongs_to_brand,B113
P1947,belongs_to_category,C093
P1948,belongs_to_brand,B221
P1948,belongs_to_category,C180
P1949,belongs_to_brand,B233
P1949,belongs_to_category,C085
P1950,belongs_to_brand,B258
P1950,belongs_to_category,C118
P1951,belongs_to_brand,B028
P1951,belongs_to_category,C103
P1952,belongs_to_brand,B172
P1952,belongs_to_category,C047
P1953,belongs_to_brand,B195
P1953,belongs_to_category,C184
P1954,belongs_to_brand,B197
P1954,belongs_to_category,C011
P1955,belongs_to_brand,B263
P1955,belongs_to_category,C004
P1956,belongs_to_brand,B041
P1956,belongs_to_category,C109
P1957,belongs_to_brand,B209
P1957,belongs_to_category,C131
P1958,belongs_to_brand,B107
P1958,belongs_to_category,C188
P1959,belongs_to_brand,B130
P1959,belongs_to_category,C195
P1960,belongs_to_brand,B132
P1960,belongs_to_category,C027
P1961,belongs_to_brand,B139
P1961,belongs_to_category,C172
P1962,belongs_to_brand,B291
P1962,belongs_to_category,C050
P1963,belongs_to_brand,B107
P1963,belongs_to_category,C131
P1964,belongs_to_brand,B003
P1964,belongs_to_category,C012
P1965,belongs_to_brand,B079
P1965,belongs_to_category,C141
P1966,belongs_to_brand,B198
P1966,belongs_to_category,C027
P1967,belongs_to_brand,B282
P1967,belongs_to_category,C135
P1968,belongs_to_brand,B297
P1968,belongs_to_category,C181
P1969,belongs_to_brand,B041
P1969,belongs_to_category,C122
P1970,belongs_to_brand,B294
P1970,belongs_to_category,C129
P1971,belongs_to_brand,B054
P1971,belongs_to_category,C143
P1972,belongs_to_brand,B065
P1972,belongs_to_category,C154
P1973,belongs_to_brand,B001
P1973,belongs_to_category,C085
P1974,belongs_to_brand,B185
P1974,belongs_to_category,C119
P1975,belongs_to_brand,B004
P1975,belongs_to_category,C190
P1976,belongs_to_brand,B220
P1976,belongs_to_category,C133
P1977,belongs_to_brand,B163
P1977,belongs_to_category,C175
P1978,belongs_to_brand,B210
P1978,belongs_to_category,C032
P1979,belongs_to_brand,B044
P1979,belongs_to_category,C152
P1980,belongs_to_brand,B265
P1980,belongs_to_category,C175
P1981,belongs_to_brand,B261
P1981,belongs_to_category,C043
P1982,belongs_to_brand,B172
P1982,belongs_to_category,C111
P1983,belongs_to_brand,B250
P1983,belongs_to_category,C124
P1984,belongs_to_brand,B042
P1984,belongs_to_category,C052
P1985,belongs_to_brand,B291
P1985,belongs_to_category,C074
P1986,belongs_to_brand,B166
P1986,belongs_to_category,C061
P1987,belongs_to_brand,B218
P1987,belongs_to_category,C173
P1988,belongs_to_brand,B175
P1988,belongs_to_category,C088
P1989,belongs_to_brand,B216
P1989,belongs_to_category,C125
P1990,belongs_to_brand,B047
P1990,belongs_to_category,C016
P1991,belongs_to_brand,B223
P1991,belongs_to_category,C082
P1992,belongs_to_brand,B172
P1992,belongs_to_category,C160
P1993,belongs_to_brand,B056
P1993,belongs_to_category,C054
P1994,belongs_to_brand,B048
P1994,belongs_to_category,C120
P1995,belongs_to_brand,B273
P1995,belongs_to_category,C064
P1996,belongs_to_brand,B088
P1996,belongs_to_category,C105
P1997,belongs_to_brand,B099
P1997,belongs_to_category,C188
P1998,belongs_to_brand,B170
P1998,belongs_to_category,C059
P1999,belongs_to_brand,B145
P1999,belongs_to_category,C051
P2000,belongs_to_brand,B242
P2000,belongs_to_category,C182
P2001,belongs_to_brand,B258
P2001,belongs_to_category,C162
P2002,belongs_to_brand,B154
P2002,belongs_to_category,C114
P2003,belongs_to_brand,B161
P2003,belongs_to_category,C109
P2004,belongs_to_brand,B072
P2004,belongs_to_category,C137
P2005,belongs_to_brand,B285
P2005,belongs_to_category,C055
P2006,belongs_to_brand,B065
P2006,belongs_to_category,C027
P2007,belongs_to_brand,B278
P2007,belongs_to_category,C130
P2008,belongs_to_brand,B020
P2008,belongs_to_category,C071
P2009,belongs_to_brand,B111
P2009,belongs_to_category,C014
P2010,belongs_to_brand,B033
P2010,belongs_to_category,C087
P2011,belongs_to_brand,B194
P2011,belongs_to_category,C195
P2012,belongs_to_brand,B212
P2012,belongs_to_category,C139
P2013,belongs_to_brand,B288
P2013,belongs_to_category,C158
P2014,belongs_to_brand,B251
P2014,belongs_to_category,C139
P2015,belongs_to_brand,B245
P2015,belongs_to_category,C075
P2016,belongs_to_brand,B157
P2016,belongs_to_category,C058
P2017,belongs_to_brand,B122
P2017,belongs_to_category,C086
P2018,belongs_to_brand,B044
P2018,belongs_to_category,C067
P2019,belongs_to_brand,B234
P2019,belongs_to_category,C094
P2020,belongs_to_brand,B228
P2020,belongs_to_category,C156
P2021,belongs_to_brand,B215
P2021,belongs_to_category,C093
P2022,belongs_to_brand,B021
P2022,belongs_to_category,C182
P2023,belongs_to_brand,B025
P2023,belongs_to_category,C127
P2024,belongs_to_brand,B119
P2024,belongs_to_category,C155
P2025,belongs_to_brand,B249
P2025,belongs_to_category,C112
P2026,belongs_to_brand,B048
P2026,belongs_to_category,C079
P2027,belongs_to_brand,B299
P2027,belongs_to_category,C051
P2028,belongs_to_brand,B057
P2028,belongs_to_category,C191
P2029,belongs_to_brand,B028
P2029,belongs_to_category,C180
P2030,belongs_to_brand,B140
P2030,belongs_to_category,C171
P2031,belongs_to_brand,B261
P2031,belongs_to_category,C085
P2032,belongs_to_brand,B058
P2032,belongs_to_category,C188
P2033,belongs_to_brand,B069
P2033,belongs_to_category,C175
P2034,belongs_to_brand,B040
P2034,belongs_to_category,C054
P2035,belongs_to_brand,B203
P2035,belongs_to_category,C111
P2036,belongs_to_brand,B184
P2036,belongs_to_category,C111
P2037,belongs_to_brand,B260
P2037,belongs_to_category,C121
P2038,belongs_to_brand,B239
P2038,belongs_to_category,C183
P2039,belongs_to_brand,B256
P2039,belongs_to_category,C089
P2040,belongs_to_brand,B182
P2040,belongs_to_category,C158
P2041,belongs_to_brand,B050
P2041,belongs_to_category,C021
P2042,belongs_to_brand,B150
P2042,belongs_to_category,C117
P2043,belongs_to_brand,B027
P2043,belongs_to_category,C165
P2044,belongs_to_brand,B292
P2044,belongs_to_category,C057
P2045,belongs_to_brand,B010
P2045,belongs_to_category,C024
P2046,belongs_to_brand,B252
P2046,belongs_to_category,C034
P2047,belongs_to_brand,B266
P2047,belongs_to_category,C100
P2048,belongs_to_brand,B292
P2048,belongs_to_category,C138
P2049,belongs_to_brand,B009
P2049,belongs_to_category,C037
P2050,belongs_to_brand,B197
P2050,belongs_to_category,C047
P2051,belongs_to_brand,B116
P2051,belongs_to_category,C015
P2052,belongs_to_brand,B133
P2052,belongs_to_category,C035
P2053,belongs_to_brand,B086
P2053,belongs_to_category,C069
P2054,belongs_to_brand,B191
P2054,belongs_to_category,C104
P2055,belongs_to_brand,B110
P2055,belongs_to_category,C057
P2056,belongs_to_brand,B144
P2056,belongs_to_category,C144
P2057,belongs_to_brand,B223
P2057,belongs_to_category,C121
P2058,belongs_to_brand,B291
P2058,belongs_to_category,C182
P2059,belongs_to_brand,B276
P2059,belongs_to_category,C007
P2060,belongs_to_brand,B244
P2060,belongs_to_category,C193
P2061,belongs_to_brand,B162
P2061,belongs_to_category,C197
P2062,belongs_to_brand,B227
P2062,belongs_to_category,C138
P2063,belongs_to_brand,B290
P2063,belongs_to_category,C036
P2064,belongs_to_brand,B192
P2064,belongs_to_category,C125
P2065,belongs_to_brand,B100
P2065,belongs_to_category,C162
P2066,belongs_to_brand,B164
P2066,belongs_to_category,C161
P2067,belongs_to_brand,B116
P2067,belongs_to_category,C071
P2068,belongs_to_brand,B101
P2068,belongs_to_category,C088
P2069,belongs_to_brand,B155
P2069,belongs_to_category,C175
P2070,belongs_to_brand,B033
P2070,belongs_to_category,C062
P2071,belongs_to_brand,B266
P2071,belongs_to_category,C008
P2072,belongs_to_brand,B021
P2072,belongs_to_category,C147
P2073,belongs_to_brand,B015
P2073,belongs_to_category,C199
P2074,belongs_to_brand,B053
P2074,belongs_to_category,C071
P2075,belongs_to_brand,B110
P2075,belongs_to_category,C008
P2076,belongs_to_brand,B124
P2076,belongs_to_category,C046
P2077,belongs_to_brand,B127
P2077,belongs_to_category,C185
P2078,belongs_to_brand,B153
P2078,belongs_to_category,C052
P2079,belongs_to_brand,B032
P2079,belongs_to_category,C079
P2080,belongs_to_brand,B262
P2080,belongs_to_category,C031
P2081,belongs_to_brand,B083
P2081,belongs_to_category,C100
P2082,belongs_to_brand,B245
P2082,belongs_to_category,C194
P2083,belongs_to_brand,B150
P2083,belongs_to_category,C155
P2084,belongs_to_brand,B090
P2084,belongs_to_category,C164
P2085,belongs_to_brand,B253
P2085,belongs_to_category,C026
P2086,belongs_to_brand,B277
P2086,belongs_to_category,C068
P2087,belongs_to_brand,B174
P2087,belongs_to_category,C020
P2088,belongs_to_brand,B172
P2088,belongs_to_category,C196
P2089,belongs_to_brand,B290
P2089,belongs_to_category,C175
P2090,belongs_to_brand,B115
P2090,belongs_to_category,C020
P2091,belongs_to_brand,B030
P2091,belongs_to_category,C175
P2092,belongs_to_brand,B199
P2092,belongs_to_category,C150
P2093,belongs_to_brand,B214
P2093,belongs_to_category,C159
P2094,belongs_to_brand,B202
P2094,belongs_to_category,C023
P2095,belongs_to_brand,B047
P2095,belongs_to_category,C123
P2096,belongs_to_brand,B026
P2096,belongs_to_category,C123
P2097,belongs_to_brand,B272
P2097,belongs_to_category,C176
P2098,belongs_to_brand,B259
P2098,belongs_to_category,C199
P2099,belongs_to_brand,B109
P2099,belongs_to_category,C197
P2100,belongs_to_brand,B229
P2100,belongs_to_category,C178
P2101,belongs_to_brand,B237
P2101,belongs_to_category,C173
P2102,belongs_to_brand,B294
P2102,belongs_to_category,C016
P2103,belongs_to_brand,B044
P2103,belongs_to_category,C177
P2104,belongs_to_brand,B244
P2104,belongs_to_category,C184
P2105,belongs_to_brand,B005
P2105,belongs_to_category,C163
P2106,belongs_to_brand,B224
P2106,belongs_to_category,C043
P2107,belongs_to_brand,B082
P2107,belongs_to_category,C198
P2108,belongs_to_brand,B172
P2108,belongs_to_category,C078
P2109,belongs_to_brand,B148
P2109,belongs_to_category,C129
P2110,belongs_to_brand,B005
P2110,belongs_to_category,C179
P2111,belongs_to_brand,B020
P2111,belongs_to_category,C128
P2112,belongs_to_brand,B174
P2112,belongs_to_category,C108
P2113,belongs_to_brand,B044
P2113,belongs_to_category,C188
P2114,belongs_to_brand,B155
P2114,belongs_to_category,C138
P2115,belongs_to_brand,B139
P2115,belongs_to_category,C178
P2116,belongs_to_brand,B091
P2116,belongs_to_category,C178
P2117,belongs_to_brand,B297
P2117,belongs_to_category,C184
P2118,belongs_to_brand,B283
P2118,belongs_to_category,C096
P2119,belongs_to_brand,B241
P2119,belongs_to_category,C128
P2120,belongs_to_brand,B187
P2120,belongs_to_category,C120
P2121,belongs_to_brand,B188
P2121,belongs_to_category,C136
P2122,belongs_to_brand,B247
P2122,belongs_to_category,C083
P2123,belongs_to_brand,B109
P2123,belongs_to_category,C083
P2124,belongs_to_brand,B214
P2124,belongs_to_category,C066
P2125,belongs_to_brand,B258
P2125,belongs_to_category,C004
P2126,belongs_to_brand,B076
P2126,belongs_to_category,C033
P2127,belongs_to_brand,B189
P2127,belongs_to_category,C117
P2128,belongs_to_brand,B070
P2128,belongs_to_category,C019
P2129,belongs_to_brand,B156
P2129,belongs_to_category,C100
P2130,belongs_to_brand,B191
P2130,belongs_to_category,C177
P2131,belongs_to_brand,B143
P2131,belongs_to_category,C146
P2132,belongs_to_brand,B227
P2132,belongs_to_category,C094
P2133,belongs_to_brand,B291
P2133,belongs_to_category,C073
P2134,belongs_to_brand,B090
P2134,belongs_to_category,C108
P2135,belongs_to_brand,B224
P2135,belongs_to_category,C125
P2136,belongs_to_brand,B284
P2136,belongs_to_category,C051
P2137,belongs_to_brand,B035
P2137,belongs_to_category,C123
P2138,belongs_to_brand,B130
P2138,belongs_to_category,C036
P2139,belongs_to_brand,B057
P2139,belongs_to_category,C069
P2140,belongs_to_brand,B122
P2140,belongs_to_category,C167
P2141,belongs_to_brand,B244
P2141,belongs_to_category,C156
P2142,belongs_to_brand,B114
P2142,belongs_to_category,C168
P2143,belongs_to_brand,B258
P2143,belongs_to_category,C062
P2144,belongs_to_brand,B228
P2144,belongs_to_category,C134
P2145,belongs_to_brand,B262
P2145,belongs_to_category,C141
P2146,belongs_to_brand,B297
P2146,belongs_to_category,C133
P2147,belongs_to_brand,B262
P2147,belongs_to_category,C088
P2148,belongs_to_brand,B285
P2148,belongs_to_category,C053
P2149,belongs_to_brand,B052
P2149,belongs_to_category,C137
P2150,belongs_to_brand,B072
P2150,belongs_to_category,C046
P2151,belongs_to_brand,B251
P2151,belongs_to_category,C009
P2152,belongs_to_brand,B278
P2152,belongs_to_category,C122
P2153,belongs_to_brand,B184
P2153,belongs_to_category,C187
P2154,belongs_to_brand,B267
P2154,belongs_to_category,C148
P2155,belongs_to_brand,B130
P2155,belongs_to_category,C132
P2156,belongs_to_brand,B100
P2156,belongs_to_category,C007
P2157,belongs_to_brand,B179
P2157,belongs_to_category,C045
P2158,belongs_to_brand,B078
P2158,belongs_to_category,C118
P2159,belongs_to_brand,B222
P2159,belongs_to_category,C104
P2160,belongs_to_brand,B230
P2160,belongs_to_category,C014
P2161,belongs_to_brand,B227
P2161,belongs_to_category,C116
P2162,belongs_to_brand,B117
P2162,belongs_to_category,C113
P2163,belongs_to_brand,B272
P2163,belongs_to_category,C019
P2164,belongs_to_brand,B295
P2164,belongs_to_category,C091
P2165,belongs_to_brand,B256
P2165,belongs_to_category,C110
P2166,belongs_to_brand,B016
P2166,belongs_to_category,C055
P2167,belongs_to_brand,B248
P2167,belongs_to_category,C177
P2168,belongs_to_brand,B217
P2168,belongs_to_category,C171
P2169,belongs_to_brand,B198
P2169,belongs_to_category,C035
P2170,belongs_to_brand,B120
P2170,belongs_to_category,C181
P2171,belongs_to_brand,B284
P2171,belongs_to_category,C071
P2172,belongs_to_brand,B096
P2172,belongs_to_category,C127
P2173,belongs_to_brand,B270
P2173,belongs_to_category,C027
P2174,belongs_to_brand,B056
P2174,belongs_to_category,C199
P2175,belongs_to_brand,B201
P2175,belongs_to_category,C193
P2176,belongs_to_brand,B297
P2176,belongs_to_category,C036
P2177,belongs_to_brand,B121
P2177,belongs_to_category,C102
P2178,belongs_to_brand,B135
P2178,belongs_to_category,C046
P2179,belongs_to_brand,B281
P2179,belongs_to_category,C052
P2180,belongs_to_brand,B075
P2180,belongs_to_category,C195
P2181,belongs_to_brand,B267
P2181,belongs_to_category,C169
P2182,belongs_to_brand,B238
P2182,belongs_to_category,C002
P2183,belongs_to_brand,B260
P2183,belongs_to_category,C058
P2184,belongs_to_brand,B004
P2184,belongs_to_category,C134
P2185,belongs_to_brand,B291
P2185,belongs_to_category,C111
P2186,belongs_to_brand,B160
P2186,belongs_to_category,C165
P2187,belongs_to_brand,B033
P2187,belongs_to_category,C083
P2188,belongs_to_brand,B014
P2188,belongs_to_category,C157
P2189,belongs_to_brand,B114
P2189,belongs_to_category,C191
P2190,belongs_to_brand,B139
P2190,belongs_to_category,C095
P2191,belongs_to_brand,B120
